kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length3;100000;10;64;16;1.03965;3.40098;1135822
run-length3;100000;10;128;16;0.536512;6.59039;1135822
run-length3;100000;10;256;16;0.283104;12.4895;1135822
run-length3;100000;10;512;16;0.172032;20.5533;1135822
run-length3;100000;10;8;32;4.76701;0.741728;1135822
run-length3;100000;10;16;32;2.4615;1.43645;1135822
run-length3;100000;10;32;32;1.21411;2.91227;1135822
run-length3;100000;10;64;32;0.610304;5.79354;1135822
run-length3;100000;10;128;32;0.321888;10.9846;1135822
run-length3;100000;10;256;32;0.1736;20.3676;1135822
run-length3;100000;10;512;32;0.10256;34.4756;1135822
run-length3;100000;10;8;64;2.30006;1.53727;1135822
run-length3;100000;10;16;64;1.16179;3.04342;1135822
run-length3;100000;10;32;64;0.598528;5.90753;1135822
run-length3;100000;10;64;64;0.318752;11.0927;1135822
run-length3;100000;10;128;64;0.17408;20.3115;1135822
run-length3;100000;10;256;64;0.104192;33.9356;1135822
run-length3;100000;10;512;64;0.065536;53.9524;1135822
run-length3;100000;10;8;128;1.19242;2.96526;1135822
run-length3;100000;10;16;128;0.59856;5.90721;1135822
run-length3;100000;10;32;128;0.3152;11.2177;1135822
run-length3;100000;10;64;128;0.170176;20.7774;1135822
run-length3;100000;10;128;128;0.1024;34.5295;1135822
run-length3;100000;10;256;128;0.083968;42.1092;1135822
run-length3;100000;10;512;128;0.045056;78.4762;1135822
run-length3;100000;10;8;256;0.640384;5.52141;1135822
run-length3;100000;10;16;256;0.328512;10.7631;1135822
run-length3;100000;10;32;256;0.178624;19.7948;1135822
run-length3;100000;10;64;256;0.104096;33.9669;1135822
run-length3;100000;10;128;256;0.067584;52.3174;1135822
run-length3;100000;10;256;256;0.046336;76.3083;1135822
run-length3;100000;10;512;256;0.045056;78.4762;1135822
run-length3;100000;10;8;512;0.375488;9.4166;1135822
run-length3;100000;10;16;512;0.197568;17.8967;1135822
run-length3;100000;10;32;512;0.112576;31.4083;1135822
run-length3;100000;10;64;512;0.067936;52.0464;1135822
run-length3;100000;10;128;512;0.045056;78.4762;1135822
run-length3;100000;10;256;512;0.043744;80.8299;1135822
run-length3;100000;10;512;512;0.044896;78.7558;1135822
run-length3;100000;10;8;1024;0.276192;12.802;1135822
run-length3;100000;10;16;1024;0.151552;23.3307;1135822
run-length3;100000;10;32;1024;0.089984;39.2939;1135822
run-length3;100000;10;64;1024;0.049696;71.149;1135822
run-length3;100000;10;128;1024;0.05008;70.6035;1135822
run-length3;100000;10;256;1024;0.0512;69.059;1135822
run-length3;100000;10;512;1024;0.0512;69.059;1135822
run-length3;100000;11;8;16;10.2764;0.334551;1037981
run-length3;100000;11;16;16;4.14816;0.828797;1037981
run-length3;100000;11;32;16;2.09306;1.64257;1037981
